fileID,f1,f2,vot,notes
ne02_kaka,925.21,1652.50,40.64,
ne02_kaka1,788.21,2174.03,46.94,
ne02_kaka2,658.98,1575.09,41.89,
ne02_keke,478.58,2411.66,49.06,
ne02_keke1,449.45,2466.06,54.29,
ne02_keke2,497.82,2250.12,32.05,
ne02_kiki,356.84,2688.77,63.41,
ne02_kiki1,344.99,2771.77,83.48,
ne02_kiki2,327.72,2762.31,57.75,
ne02_koko,559.57,1043.22,49.57,
ne02_koko1,474.31,1029.41,34.38,
ne02_koko2,543.01,1080.98,43.30,
ne02_kuku,979.59,1310.13,60.07,
ne02_kuku1,246.41,1191.25,49.64,
ne02_kuku2,485.75,1140.64,57.56,
ne02_paka,759.42,1657.25,23.05,
ne02_paka1,867.33,1518.24,12.37,
ne02_paka2,1014.98,1784.74,12.91,
ne02_peke,546.83,2389.71,39.14,
ne02_peke1,510.26,2473.90,11.91,
ne02_peke2,540.27,2433.06,39.44,
ne02_piki,328.52,2613.59,12.74,
ne02_piki1,355.91,2623.24,13.94,
ne02_piki2,450.22,2635.90,12.33,
ne02_poko,584.27,1051.49,16.28,
ne02_poko1,1064.21,2181.63,27.78,
ne02_poko2,838.01,2063.80,20.69,
ne02_puku,440.96,1059.96,29.65,
ne02_puku1,494.53,1211.88,37.03,
ne02_puku2,450.78,1262.28,24.96,
ne02_taka,844.38,1758.51,27.40,
ne02_taka1,829.39,1585.21,25.96,
ne02_taka2,813.75,1649.90,27.00,
ne02_teke,518.90,2410.16,23.64,
ne02_teke1,484.38,2460.66,33.35,
ne02_teke2,706.57,1807.40,33.00,
ne02_tiki,310.13,2841.00,33.93,
ne02_tiki1,314.47,2740.22,30.98,
ne02_tiki2,314.92,2748.16,29.54,
ne02_toko,480.90,999.06,34.76,
ne02_toko1,599.21,1160.31,43.56,
ne02_toko2,538.33,1019.59,32.32,
ne02_tuku,470.53,1305.22,27.33,
ne02_tuku1,446.53,1125.71,42.42,
ne02_tuku2,762.14,1356.17,54.60,
